"record_id","timeline","english_title","english_date","english_popup","ndn (Nepali title)","ndate (Nepali date)","npopup (Nepali popup)"
"5963ff0f43fbce217a9bc5b7#0","Scientific Revolution","Andreas Vesalius publishes his work on human anatomy","1543","'This is considered to be the first great modern work of science and the base of modern biology. In it, Vesalius makes new observations about the structure of the human body.'","","",""
"5963ff0f43fbce217a9bc5b7#1","Scientific Revolution","Nicolas Copernicus publishes his work on planets","1543","'Copernicus proposes that the Sun, not the Earth, is the center of our solar system. This is called the heliocentric theory.'","","",""
"5963ff0f43fbce217a9bc5b7#2","Scientific Revolution","Giordano Bruno talks of the infinite universe","1584","'The rebellious Italian monk talks about his philosophy, including his argument that the universe is infinitely large and that the Earth is not at the center of it.'","","",""
"5963ff0f43fbce217a9bc5b7#3","Scientific Revolution","Francois Viete invents analytical trigonometry","1591","'The invention of analytical trigonometry, a branch of mathematics involving the position of trigonometric identities, is key to the study of physics and astronomy.'","","",""
"5963ff0f43fbce217a9bc5b7#4","Scientific Revolution","Galileo Galilei demonstrates the properties of gravity","1591","'Galileo shows, from the top of the leaning tower of Pisa, that a one-pound weight and a one hundred-pound weight dropped at the same moment hit the ground at the same time. This proves that the rate of fall of an object is not dependent upon its weight.'","","",""
"5963ff0f43fbce217a9bc5b7#5","Scientific Revolution","Galileo publishes his booklet on moons","1610","'This 24-page booklet describes observations made by Galileo of the surface of the moon, and of the moons orbiting Jupiter, making the Church afraid. The Inquisition soon warns Galileo to stop spreading his theories.'","","",""
"5963ff0f43fbce217a9bc5b7#6","Scientific Revolution","John Napier makes calculation easier","1614","'Napier invents a new way of arranging logarithms, which is an essential step in simplifying calculations.'","","",""
"5963ff0f43fbce217a9bc5b7#7","Scientific Revolution","Johannes Kepler reveals his last law on planetary motion","1618","'Kepler`s laws of planetary motion describe the form and movement of planetary paths, and are the final step leading to the academic rejection of the Aristotelian system.'","","",""
"5963ff0f43fbce217a9bc5b7#8","Scientific Revolution","Francis Bacon tries to relate different sciences","1620","'Bacon attempts to create organization and cooperation within the scientific community by demonstrating how the many different fields of science relate to one another.'","","",""
"5963ff0f43fbce217a9bc5b7#9","Scientific Revolution","Galileo proves the Earth is not the center of the solar system","1630","'Galileo`s greatest work uses the laws of physics to prove wrong the Aristotelian argument that the Earth is the center of the solar system and supports the heliocentric theory. Galileo presents his claim that the laws of earth physics are no different than the laws of space physics.'","","",""
"5963ff0f43fbce217a9bc5b7#10","Scientific Revolution","The Church forces Galileo to withdraw","1633","'The Inquisition forces Galileo to withdraw his ideas and convict him to house arrest for the remaining nine years of his life. His Dialogue is burned as heretical, and his punishment to be read at every university.'","","",""
"5963ff0f43fbce217a9bc5b7#11","Scientific Revolution","Rene Descartes begins setting up the modern scientific method","1637","'The work of Descartes sets forth the principles of deductive reasoning as used in the modern scientific method.'","","",""
"5963ff0f43fbce217a9bc5b7#12","Scientific Revolution","Rene Descartes publishes geometry","1637","'In this important work, Descartes discusses how motion may be shown as a curve along a graph, defined by its relation to planes of reference.'","","",""
"5963ff0f43fbce217a9bc5b7#13","Scientific Revolution","Evangelista Torricelli invents the barometer","1643","'Torricelli invented a device that measures air pressure, which demonstrated that air does indeed have weight, and that the pressure caused by that weight differs in different situations.'","","",""
"5963ff0f43fbce217a9bc5b7#14","Scientific Revolution","Otto von Guericke invents the Air Pump","1656","'Van Guerick shows the properties of a vacuum by using his air pump to take the air from within his famous ""Magdeberg hemispheres,"" which, though easily separated in normal conditions, could not be parted by two teams of sixteen horses once he had removed the air.'","","",""
"5963ff0f43fbce217a9bc5b7#15","Scientific Revolution","The Royal Society of London is Officially Organized by King Charles II","1662","'The Royal Society brings together the greatest minds of the region in efforts to advance science through cooperation. Similar societies subsequently spring up throughout Europe, creating an intellectual network, which produces many of the scientific advances of the later seventeenth century. King Charles II grants them a mace.'","","",""
"5963ff0f43fbce217a9bc5b7#16","Scientific Revolution","Robert Boyle publishes his study of matter","1666","'Although this work by Boyle has some mistakes, it sets the stage for the study of matter on the atomic level.'","","",""
"5963ff0f43fbce217a9bc5b7#17","Scientific Revolution","Isaac Newton publishes the Principia","1687","'Perhaps the most important event in the history of science, the Principia lays out the total model of the universe as organized according to the law of universal gravitation. The Principia is the combination of the works of all of the great astronomers who preceded Newton, and remains the basis of modern physics and astronomy.'","","",""
"5963ff0f43fbce217a9bc5b7#18","Scientific Revolution","The Salem Witch Trials take place in Massachusetts","1692","'Even late in the seventeenth century, 200 people are accused of witchcraft in Salem, Massachusetts. Over 7,000 women were killed for witchcraft in Europe between 1550 and 1700.'","","",""
"5963ffda43fbce217a9bc5b8#0","Earthquakes near Nepal","Kathmandu","1255","'Magnitude of Earthquake= 7.8<br>Number of Deaths= 2,200<br>'","","",""
"5963ffda43fbce217a9bc5b8#1","Earthquakes near Nepal","Sagarmatha","1260","'Magnitude of Earthquake= 7.1<br>Number of Deaths= 100<br>'","","",""
"5963ffda43fbce217a9bc5b8#2","Earthquakes near Nepal","Mechi","1344","'Magnitude of Earthquake: 7.9<br>Number of Deaths: 100<br>'","","",""
"5963ffda43fbce217a9bc5b8#3","Earthquakes near Nepal","Near Nepal-Tibet Border (Bagmati zone)","1408","'Magnitude of Earthquake: 8.2<br>Number of Deaths: 2,500<br>'","","",""
"5963ffda43fbce217a9bc5b8#4","Earthquakes near Nepal","Near Saldang, Karnali zone","1505","'Magnitude of Earthquake: 8.8<br>Number of Deaths: 6,000<br>'","","",""
"5963ffda43fbce217a9bc5b8#5","Earthquakes near Nepal","Northern Kosi zone","1681","'Magnitude of Earthquake: 8.0<br>Number of Deaths: 4,500<br>'","","",""
"5963ffda43fbce217a9bc5b8#6","Earthquakes near Nepal","Northern Bagmati zone","1767","'Magnitude of Earthquake: 7.9<br>Number of Deaths: 4,000<br>'","","",""
"5963ffda43fbce217a9bc5b8#7","Earthquakes near Nepal","Kathmandu/Bihar","1833","'Magnitude of Earthquake: 8.0<br>Number of Deaths: 6,500<br>'","","",""
"5963ffda43fbce217a9bc5b8#8","Earthquakes near Nepal","Kathmandu","1869","'Magnitude of Earthquake: 6.5<br>Number of Deaths: 750<br>'","","",""
"5963ffda43fbce217a9bc5b8#9","Earthquakes near Nepal","Nepal/Tibet","1916","'Magnitude of Earthquake: 7.7<br>Number of Deaths: 3,500<br>'","","",""
"5963ffda43fbce217a9bc5b8#10","Earthquakes near Nepal","Nepal/India/Tibet","1934","'Magnitude of Earthquake: 8.4<br>Number of Deaths: 8,519<br>'","","",""
"5963ffda43fbce217a9bc5b8#11","Earthquakes near Nepal","Nepal/India border","1966","'Magnitude of Earthquake: 6.3<br>Number of Deaths: 80<br>'","","",""
"5963ffda43fbce217a9bc5b8#12","Earthquakes near Nepal","Nepal/Pithoragarh","1980","'Magnitude of Earthquake: 6.5<br>Number of Deaths: 200<br>'","","",""
"5963ffda43fbce217a9bc5b8#13","Earthquakes near Nepal","Kathmandu/Bihar","1988","'Magnitude of Earthquake: 6.6<br>Number of Deaths: 1,091<br>'","","",""
"5963ffda43fbce217a9bc5b8#14","Earthquakes near Nepal","Sikkim, India","2011","'Magnitude of Earthquake: 6.9<br>Number of Deaths: 111<br>'","","",""
"5963ffda43fbce217a9bc5b8#15","Earthquakes near Nepal","Kathmandu/India/Tibet","April 2015","'Magnitude of Earthquake: 7.8<br>Number of Deaths: 8,922<br>'","","",""
"5963ffda43fbce217a9bc5b8#16","Earthquakes near Nepal","Nepal/China/India","May 2015","'Magnitude of Earthquake: 7<br>Number of Deaths: 213<br>'","","",""
"596400b143fbce217a9bc5ba#0","World War II","Adolf Hitler becomes Chancellor of Germany","January 30, 1933","'By 1933, the Nazi Party was the largest elected party in the German Reichstag, which led to the appointment of Hitler as Chancellor on January 30, 1933.'","","",""
"596400b143fbce217a9bc5ba#1","World War II","Rome-Berlin Axis Treaty","October 25, 1936","'Rome-Berlin Axis, Coalition formed in 1936 between Italy and Germany. An agreement formulated by the foreign minister of Italy, Galeazzo Ciano, informally linking the two fascist countries was reached on October 25, 1936.'","","",""
"596400b143fbce217a9bc5ba#2","World War II","Anti-Comintern Pact against Communism","November 25, 1936","'Anti-Comintern Pact, agreement concluded first between Germany and Japan (Nov. 25, 1936) and then between Italy, Germany, and Japan (Nov. 6, 1937), ostensibly directed against the Communist International (Comintern) but, by implication, specifically against the Soviet Union.'","","",""
"596400b143fbce217a9bc5ba#3","World War II","Japan invades China","July 7, 1937","'On the night of July 7, 1937, Chinese and Japanese troops exchanged fire in the vicinity of the Lugou (or Marco Polo) bridge, a crucial access-route to Beijing. What began as confused, sporadic skirmishing soon escalated into a full-scale battle in which Beijing and its port city of Tianjin fell to Japanese forces (July–August 1937).'","","",""
"596400b143fbce217a9bc5ba#4","World War II","Hitler annexes Austria","March 12, 1938","'Anschluss (A german word for connection or joining) is the term used to describe the annexation of Austria into Nazi Germany on 12 March 1938.'","","",""
"596400b143fbce217a9bc5ba#5","World War II","Germany invades Poland","September 1, 1939","'The Invasion of Poland, also known as the September Campaign, was a joint invasion of Poland by Nazi Germany, the Soviet Union, the Free City of Danzig, and a small Slovak contingent, that marked the beginning of World War II.'","","",""
"596400b143fbce217a9bc5ba#6","World War II","War declared on Germany","September 3, 1939","'The Declaration of war by France and the United Kingdom was given on 3 September 1939, after German forces invaded Poland. Despite the speech being the official announcement of both France and the United Kingdom, the speech was given by the British Prime Minister Neville Chamberlain, in Westminster, London.'","","",""
"596400b143fbce217a9bc5ba#7","World War II","Germany seizes Denmark and Norway","April - June, 1940","'The German invasion of Denmark was the fighting that followed the German army crossing the Danish border on 9 April 1940 by land, sea and air. Lasting approximately six hours, the German ground campaign against Denmark was one of the shortest military operations of the Second World War.'","","",""
"596400b143fbce217a9bc5ba#8","World War II","Germany seizes the Netherlands and more","May - June, 1940","'The direct involvement of the Netherlands in World War II began with its invasion by Nazi Germany on 10 May 1940. The Netherlands had proclaimed neutrality when war broke out in September 1939, just as it had in World War I, but Adolf Hitler ordered it to be invaded anyway.'","","",""
"596400b143fbce217a9bc5ba#9","World War II","Italy joins the war","June 10, 1940","'On this day in 1940, after withholding formal allegiance to either side in the battle between Germany and the Allies, Benito Mussolini, dictator of Italy, declares war on France and Great Britain.'","","",""
"596400b143fbce217a9bc5ba#10","World War II","Tripartite Act","September 22, 1940","'Berlin-Tokyo-Rome Axis. In Berlin, Germany, officials from Nazi Germany, Fascist Italy, and Imperial Japan sign the ten-year Tripartite Pact (the Three-Power Agreement), a military alliance. The pact sealed cooperation among the three nations (Axis powers) in waging World War II.'","","",""
"596400b143fbce217a9bc5ba#11","World War II","The Axis powers attack Russia","June 22, 1941","'With permission from Adolf Hitler, German forces attacked the western region of the Soviet Union. The goal of Germany was to take over part of the Soviet Union and have only Germans occupy it. Germany soon occupied Ukraine (in the Soviet Union), which was a major victory for the Nazis.'","","",""
"596400b143fbce217a9bc5ba#12","World War II","Japan attacks Pearl Harbor","December 7, 1941","'353 Japanese aircrafts launched a surprise attack on the United States naval base in Pearl Harbor, Hawaiian Territory. Four of the eight US ships sunk as a result of the attack. This was the reason the United States decided to enter World War II.'","","",""
"596400b143fbce217a9bc5ba#13","World War II","Battle of Midway","June 4, 1942","'The Japanese attacked United States navy ships near Japan in hopes of causing the US to stop fighting in the Pacific Ocean. However, the US found out about the surprise attack before it happened and they were able to defeat the Japanese ships very convincingly.'","","",""
"596400b143fbce217a9bc5ba#14","World War II","The Allies invade Sicily","July 10, 1942","'Allied forces use ships and planes to invade the Italian island of Sicily because Italy was on the side of Germany. After over a month of fighting, the Allies were victorious because they took control of the island and forced Axis troops off.'","","",""
"596400b143fbce217a9bc5ba#15","World War II","Italy surrenders to the Allies","September 3, 1943","'Italy, who began the war on the side of Nazi Germany and the rest of the Axis Powers, was surrounded by Allied troops in the summer of 1943. Eventually, the King and Prime Minister of Italy signed a document promising their surrender to the Allies. Shortly after, Germany invaded Italy.'","","",""
"596400b143fbce217a9bc5ba#16","World War II","Normandy or D-day","June 6, 1944","'Allied forces successfully attacked a beach in Normandy, France by using the largest amphibious (ship) invasion in history. Many countries, from Britain and Canada to Australia and New Zealand, supported this attack. Both sides suffered over 100,000 casualties.'","","",""
"596400b143fbce217a9bc5ba#17","World War II","Paris is liberated","August 25, 1944","'The Battle for Paris lasted six days until the Germans surrendered the city they had controlled for four years. Adolf Hitler was outraged. Fighting still continued in other parts of France.'","","",""
"596400b143fbce217a9bc5ba#18","World War II","Battle of the Bulge","December 16, 1944","'German forces surprised their opponents by launching a surprise attack in Belgium, France, and Luxembourg. This was the last major attack from the Germans during World War II, and both sides suffered many casualties.'","","",""
"596400b143fbce217a9bc5ba#19","World War II","U.S. invades Iwo Jima","February 19, 1945","'The Battle of Iwo Jima was a major battle in which the United States fighters landed on and eventually captured the island of Iwo Jima from the Japanese Army. The fighting lasted five weeks, and after US troops captured the island they used it as emergency landing for their bombers.'","","",""
"596400b143fbce217a9bc5ba#20","World War II","Adolf Hitler commits suicide","April 30, 1945","'Knowing that Germany is going to lose the war, Hitler kills himself in a bunker below his headquarters in Berlin. He appoints Admiral Karl Donitz to be the new head of state.'","","",""
"596400b143fbce217a9bc5ba#21","World War II","Germany surrenders to the Allies","May 7, 1945","'General Alfred Jodl, the German High Command, met representatives from The United States, France, Russia, Britain and other countries in Reims, France. There he signed a documenting agreeing to the complete  of German forces everywhere.'","","",""
